country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eritrea,112,113,119,127,137,147,154,163,169,180,192,202,224,239,254,266,277,289,302,315,326,339,357,375,393,415,437,460,486,512
Spain,17k,17.8k,18.2k,19.1k,19.8k,20.3k,20.6k,20.9k,21.6k,22.3k,22.2k,22.6k,23k,24.2k,24.1k,24.5k,24.9k,26k,27.2k,27.4k,27.4k,28.2k,27.8k,28.2k,28.1k,29k,28.6k,28.8k,29.2k,29.4k
Estonia,601,630,598,631,664,613,560,565,613,619,670,694,680,691,688,714,721,743,749,743,708,752,756,765,769,769,824,823,821,817
Ethiopia,2440,2470,2570,2640,2690,2720,2740,2770,2860,2920,2840,2800,2820,2840,2890,2960,2980,3030,3090,3230,3350,3460,3580,3780,4030,4230,4530,4820,5140,5450
Finland,2520,2590,2770,2900,2920,3120,3080,3290,3370,3460,3610,3580,3680,3680,4000,4080,3970,4090,4250,4390,4470,4430,4560,4540,4430,4380,4400,4410,4380,4370
Fiji,102,104,106,107,108,111,114,116,115,121,126,124,129,137,139,148,159,172,185,191,197,203,207,212,217,223,230,236,243,249
France,30.4k,31.5k,32.8k,34.6k,35.1k,36k,37.1k,38k,40.3k,41.7k,42.1k,43.7k,45.8k,47.6k,47.5k,48.2k,48.8k,48.8k,50.4k,51.3k,50.8k,50.3k,50k,49.9k,50k,51.4k,49.5k,49.8k,50.2k,50.7k
"Micronesia, Fed. Sts.",9.69,10.3,10.8,11.3,11.8,12.4,13,13.5,14,14.5,15.1,15.8,16.6,17.4,18.3,19.1,19.7,20.4,20.9,21.4,21.9,22.5,23.1,23.6,24.3,24.9,25.4,26.1,26.9,27.5
Gabon,87.6,91,92.8,94.6,100,105,112,115,118,122,127,134,137,144,150,152,158,161,167,169,170,178,183,185,192,201,211,222,234,245
UK,41.8k,42k,42.4k,43.9k,43.6k,44.6k,44.5k,44.7k,45.5k,46.2k,46.5k,46.2k,47k,47.9k,47k,47.6k,47.8k,48.2k,49.5k,48.7k,49.2k,48.9k,49k,49.3k,49.3k,50.4k,51.5k,51.6k,52.5k,52.7k
Georgia,2320,2360,2400,2280,2230,1940,1790,1820,1840,1860,1880,1900,2010,2050,2070,2050,1980,1930,1940,2000,2000,2010,1990,1920,1860,1880,1900,1910,1930,1920
Ghana,1220,1290,1380,1480,1530,1570,1640,1740,1810,1860,1910,2010,2070,2120,2180,2280,2360,2480,2560,2670,2840,3050,3170,3300,3490,3650,3950,4240,4450,4690
Guinea,326,339,352,365,382,394,407,422,440,453,461,474,486,496,509,521,538,549,556,569,583,598,614,631,656,675,697,721,747,765
Gambia,17.1,18.3,19.6,20.1,20.8,23.9,23.5,25,27.9,31.8,31.5,32.8,34.8,38.2,43.9,47.2,48,50.3,50.1,53.3,55,52.6,55.9,60,68.3,68.7,76.8,85.3,89.2,93.9
Guinea-Bissau,51.9,53.3,54.7,56.2,57.8,59.5,61.5,63.3,65.1,66.9,68.7,70.8,74,77.3,81.4,83.9,87.6,91.4,95,99,103,106,111,115,119,123,129,134,138,143
Equatorial Guinea,20,20.6,20.9,21.9,22.7,23.8,25.6,26.3,27.7,29.6,31.5,33.6,35.7,39.3,43.8,48.2,52.8,56.2,60.4,65.6,71.3,78.7,83.7,86.2,89.8,95.8,104,111,119,125
Greece,5270,5450,5880,5960,6100,6220,6400,6450,6770,7080,7060,7250,7620,7750,8030,8060,8030,8510,8450,8420,8450,8410,8600,8370,8080,8160,8410,8420,8630,8720
